record_id,asset_id,asset_type,station,route,last_service_date,days_since_service,fault_type,fault_count_30d,health_score,health_status,technician_note,recommended_action,temperature_celsius,vibration_level,oil_pressure_bar,fuel_efficiency_pct,axle_temp_celsius,wheel_profile_mm,pad_thickness_mm,brake_cylinder_pressure_bar,stopping_distance_m,response_time_ms,voltage_output_v,contact_resistance_ohm,rail_wear_mm,gauge_deviation_mm,ballast_void_pct,motor_current_a,cycle_time_seconds,sensor_reliability_pct
3ae20246-26f2-4def-8927-e35b8cafb273,SG-1001,signal_unit,Colombo Fort,Kandy - Badulla,2026-07-02,70,none,0,84.82,GREEN,Monthly service carried out. Fluid levels checked. All systems operating normally.,Continue normal monitoring schedule.,,,,,,,,,,168,23.4,0.146,,,,,,
1b0a40f4-612b-4b7f-9249-c94acdba12d4,BG-1001,bogie,Colombo Fort,Colombo Fort - Kandy,2026-07-17,55,none,0,80.69,GREEN,Inspection passed. Sensor readings nominal. Documentation updated in maintenance log.,Continue normal inspection schedule. Next check in 30 days.,,1.84,,,44.3,130.6,,,,,,,,,,,,
22df8760-7587-42f6-9ff2-8f9513bdce87,EL-1001,electric_loco,Moratuwa,Colombo Fort - Jaffna,2026-09-09,1,none,0,97.65,GREEN,Inspection passed. Sensor readings nominal. Documentation updated in maintenance log.,Continue normal service cycle. No action required.,78.7,1.6,4.58,91.6,,,,,,,,,,,,,,
5c34eef9-f4dd-4254-a722-49e9d429a6b1,DE-1001,diesel_engine,Jaffna,Colombo Fort - Jaffna,2026-04-09,154,none,0,67.02,AMBER,Routine inspection completed. No issues found. All readings within normal range.,Schedule inspection within 7 days. Check oil and cooling system.,93.0,3.57,4.0,88.6,,,,,,,,,,,,,,
48285f9c-a833-492c-b73c-02513fb2f391,BR-1001,brake_system,Trincomalee,Kandy - Badulla,2026-04-05,158,none,0,66.56,AMBER,Periodic check completed. Torque checked on all fasteners. No corrective action required.,Inspect brake pads and cylinders within 3 days. Test stopping distance.,,,,,,,13.8,6.23,296,,,,,,,,,
26014263-6c14-4985-922d-85cc0b19eda7,PG-1001,platform_gate,Jaffna,Colombo Fort - Galle,2026-08-16,25,none,0,81.76,GREEN,Periodic check completed. Torque checked on all fasteners. No corrective action required.,Continue routine operational checks.,,,,,,,,,,,,,,,,3.39,10.4,96.0
abcffb60-38d3-433d-bb73-02ec7435c2c1,SG-1002,signal_unit,Aluthgama,Kandy - Badulla,2026-08-23,18,none,0,95.84,GREEN,Monthly service carried out. Fluid levels checked. All systems operating normally.,Continue normal monitoring schedule.,,,,,,,,,,153,24.1,0.1,,,,,,
ae165dc5-f489-4546-b490-7157456fde40,EL-1002,electric_loco,Kandy,Colombo Fort - Trincomalee,2026-08-27,14,none,0,96.93,GREEN,Periodic check completed. Torque checked on all fasteners. No corrective action required.,Continue normal service cycle. No action required.,76.9,1.66,4.56,95.2,,,,,,,,,,,,,,
aa7a248a-a793-4ca5-b136-9be52037b95e,EL-1003,electric_loco,Galle,Colombo Fort - Badulla,2026-03-30,164,none,0,64.08,AMBER,Monthly service carried out. Fluid levels checked. All systems operating normally.,Check electrical systems within 5 days. Run full diagnostic cycle.,91.0,3.88,3.46,84.2,,,,,,,,,,,,,,
7a44577b-4bf1-4f5d-880a-b0de7d3b8c00,BG-1002,bogie,Moratuwa,Colombo Fort - Badulla,2026-06-10,92,suspension_worn,1,37.56,RED,Coil spring sag of 12mm beyond tolerance. Springs replaced. Ride height restored to spec.,Withdraw asset from service. Full bogie overhaul required. See Bogie Guide Section 5.,,5.16,,,70.8,125.2,,,,,,,,,,,,
3f7b7b94-7ce0-4ccf-9fb0-08340ba8fb8c,TR-1001,track_section,Nanu Oya,Colombo Fort - Matara,2026-08-25,16,none,0,87.7,GREEN,Routine inspection completed. No issues found. All readings within normal range.,Continue routine geometry inspections.,,,,,,,,,,,,,1.16,0.98,6.8,,,
ecb67f18-8a2d-47bb-8519-562e39f10202,SG-1003,signal_unit,Gampaha,Kandy - Badulla,2026-04-26,137,none,0,72.7,GREEN,Routine inspection completed. No issues found. All readings within normal range.,Continue normal monitoring schedule.,,,,,,,,,,183,22.8,0.28,,,,,,
bdc938f7-bc29-4920-84ed-882d65c84c5a,PG-1002,platform_gate,Hikkaduwa,Colombo Fort - Jaffna,2026-05-05,128,none,0,71.3,GREEN,Monthly service carried out. Fluid levels checked. All systems operating normally.,Continue routine operational checks.,,,,,,,,,,,,,,,,3.64,10.8,89.1
83e5c4a8-ff0a-4535-923b-3aab2338a570,BR-1002,brake_system,Veyangoda,Colombo Fort - Jaffna,2026-07-31,41,none,0,89.27,GREEN,Routine inspection completed. No issues found. All readings within normal range.,Continue routine checks. No immediate action required.,,,,,,,15.3,6.55,263,,,,,,,,,
0815f879-13b0-47e4-9e63-ceb8d50c2458,DE-1002,diesel_engine,Peradeniya,Colombo Fort - Trincomalee,2026-06-24,78,none,0,82.37,GREEN,Monthly service carried out. Fluid levels checked. All systems operating normally.,Continue normal scheduled maintenance. Next service in 30 days.,86.8,2.99,4.21,90.7,,,,,,,,,,,,,,
2241b3e4-8a86-49a9-ae43-fb8ef959a99c,TR-1002,track_section,Veyangoda,Kandy - Badulla,2026-05-12,121,none,0,62.19,AMBER,Monthly service carried out. Fluid levels checked. All systems operating normally.,Schedule track geometry check within 5 days. Inspect rail joints.,,,,,,,,,,,,,4.85,3.34,9.2,,,
0626cac4-1439-4337-aba3-f536b548a944,SG-1004,signal_unit,Ambalangoda,Colombo Fort - Galle,2026-06-23,79,none,0,73.82,GREEN,Scheduled preventive maintenance carried out. Lubrication and cleaning completed.,Continue normal monitoring schedule.,,,,,,,,,,186,22.5,0.277,,,,,,
98cf35d6-6cb8-437f-9e8a-71e6b132f56f,EL-1004,electric_loco,Kandy,Colombo Fort - Kandy,2026-04-13,150,none,0,66.77,AMBER,Routine inspection completed. No issues found. All readings within normal range.,Check electrical systems within 5 days. Run full diagnostic cycle.,89.6,3.47,3.65,84.7,,,,,,,,,,,,,,
0a1b570d-92be-4083-84b5-5211481a22b7,LC-1001,level_crossing,Jaffna,Colombo Fort - Jaffna,2026-08-23,18,none,0,90.97,GREEN,Monthly service carried out. Fluid levels checked. All systems operating normally.,Continue routine operational checks.,,,,,,,,,,,,,,,,3.2,8.3,96.0
6ddf1c1f-38e7-423f-a273-74ca8e21feb2,BR-1003,brake_system,Maho,Colombo Fort - Trincomalee,2026-05-12,121,none,0,75.66,GREEN,Inspection passed. Sensor readings nominal. Documentation updated in maintenance log.,Continue routine checks. No immediate action required.,,,,,,,15.0,5.73,284,,,,,,,,,
7db33f6c-4621-49ba-b907-5b3fba723541,LC-1002,level_crossing,Maradana,Kandy - Badulla,2026-03-27,167,none,0,71.3,GREEN,Scheduled preventive maintenance carried out. Lubrication and cleaning completed.,Continue routine operational checks.,,,,,,,,,,,,,,,,3.82,10.9,95.2
2ada8cba-8188-4d47-8877-92bccc5bb27e,EL-1005,electric_loco,Hambantota,Colombo Fort - Badulla,2026-08-06,35,none,0,88.49,GREEN,Routine inspection completed. No issues found. All readings within normal range.,Continue normal service cycle. No action required.,82.4,2.48,4.11,91.3,,,,,,,,,,,,,,
baa334a0-91e6-4d06-8e6a-52590c3619a5,SG-1005,signal_unit,Hambantota,Colombo Fort - Trincomalee,2026-09-07,3,none,0,89.66,GREEN,Scheduled preventive maintenance carried out. Lubrication and cleaning completed.,Continue normal monitoring schedule.,,,,,,,,,,175,23.2,0.144,,,,,,
14bd7150-4d13-4107-9ddd-5d5c88f3a831,LC-1003,level_crossing,Maradana,Colombo Fort - Galle,2026-06-05,97,gate_jam,4,62.11,AMBER,Gate failed to lower on demand. Control cable found frayed. Cable replaced and limits set.,Inspect gate mechanism and sensors within 3 days.,,,,,,,,,,,,,,,,3.91,13.3,89.1
ca15f6b9-3f34-4c3c-8b0f-d66ce0bfbca1,EL-1006,electric_loco,Vavuniya,Colombo Fort - Galle,2026-08-27,14,none,0,83.99,GREEN,Monthly service carried out. Fluid levels checked. All systems operating normally.,Continue normal service cycle. No action required.,77.4,2.33,4.35,89.7,,,,,,,,,,,,,,
2d512b99-82d2-4e36-81dd-411d5dcaf75f,LC-1004,level_crossing,Matara,Colombo Fort - Galle,2026-08-27,14,none,0,95.48,GREEN,Scheduled preventive maintenance carried out. Lubrication and cleaning completed.,Continue routine operational checks.,,,,,,,,,,,,,,,,2.77,7.9,96.2
012b0b01-b5c0-4e14-8935-45d2d1ce7993,BG-1003,bogie,Moratuwa,Colombo Fort - Galle,2026-04-15,148,none,0,66.52,AMBER,Periodic check completed. Torque checked on all fasteners. No corrective action required.,Inspect wheel profile and axle bearings within 7 days.,,2.86,,,49.2,129.4,,,,,,,,,,,,
f03ae47d-4053-488d-a00b-acef9f774fca,EL-1007,electric_loco,Ambalangoda,Colombo Fort - Jaffna,2026-07-11,61,none,0,89.73,GREEN,Monthly service carried out. Fluid levels checked. All systems operating normally.,Continue normal service cycle. No action required.,82.8,1.45,4.37,90.2,,,,,,,,,,,,,,
e86986ed-0147-4b78-96aa-9dc0a4b86a04,PG-1003,platform_gate,Gampaha,Colombo Fort - Kandy,2026-04-26,137,none,0,71.9,GREEN,Periodic check completed. Torque checked on all fasteners. No corrective action required.,Continue routine operational checks.,,,,,,,,,,,,,,,,3.56,12.5,95.0
